id_employee,start_date,mark
19175,2026-02-01,14
19399,2026-02-01,11
19559,2026-02-01,12
19663,2026-02-01,20
19738,2026-02-01,20
19741,2026-02-01,10
19746,2026-02-01,12
19825,2026-02-01,11
19893,2026-02-01,14
19910,2026-02-01,14
19912,2026-02-01,18
19931,2026-02-01,14
19934,2026-02-01,20
19937,2026-02-01,17
19940,2026-02-01,12
19945,2026-02-01,12
19958,2026-02-01,24
20145,2026-02-01,20
20192,2026-02-01,18
20518,2026-02-01,19
20529,2026-02-01,11
20531,2026-02-01,14
20570,2026-02-01,14
20816,2026-02-01,19
21054,2026-02-01,18
21075,2026-02-01,14
21077,2026-02-01,13
21463,2026-02-01,14
21472,2026-02-01,15
21531,2026-02-01,6
21536,2026-02-01,15
21557,2026-02-01,14
21568,2026-02-01,20
21581,2026-02-01,12
21583,2026-02-01,14
21687,2026-02-01,16
21796,2026-02-01,12
21810,2026-02-01,14
21822,2026-02-01,16
21824,2026-02-01,20
21828,2026-02-01,20
21844,2026-02-01,15
21865,2026-02-01,18
21911,2026-02-01,18
21915,2026-02-01,15
21916,2026-02-01,12
21974,2026-02-01,14
21980,2026-02-01,14
22001,2026-02-01,15
22004,2026-02-01,13
22008,2026-02-01,15
22010,2026-02-01,14
22039,2026-02-01,15
22040,2026-02-01,14
22110,2026-02-01,14
22243,2026-02-01,21
22255,2026-02-01,20
22280,2026-02-01,11
22387,2026-02-01,25
22566,2026-02-01,24
22582,2026-02-01,20
22672,2026-02-01,13
23001,2026-02-01,12
23022,2026-02-01,15
23043,2026-02-01,13
23060,2026-02-01,14
23077,2026-02-01,14
23095,2026-02-01,14
23116,2026-02-01,12
23147,2026-02-01,18
23167,2026-02-01,20
23173,2026-02-01,15
23176,2026-02-01,13
23177,2026-02-01,16
23185,2026-02-01,25
23195,2026-02-01,14
23292,2026-02-01,17
23350,2026-02-01,10
23386,2026-02-01,23
23454,2026-02-01,17
23455,2026-02-01,17
23748,2026-02-01,14
23750,2026-02-01,21
23759,2026-02-01,16
23770,2026-02-01,11
23771,2026-02-01,23
23784,2026-02-01,10
